Spec,Variant,city,n_plants,n_obs,R2_log,Spearman,R2_demeaned,R2_log_relev
M3 (dist+port),Demeaned,Fangchenggang,1.0,32.0,,0.5975,-2.0574,-2.0574
M3 (dist+port),Demeaned,Chizhou,1.0,43.0,,0.9616,0.7895,0.7895
M3 (dist+port),Demeaned,Hanzhong City,1.0,43.0,,0.9334,0.5985,0.5985
M3 (dist+port),Demeaned,Hejin,1.0,45.0,,0.7983,-0.4596,-0.4596
M3 (dist+port),Demeaned,Dalian,1.0,45.0,,0.9125,0.5323,0.5323
M3 (dist+port),Demeaned,Chengde,1.0,45.0,,0.9878,0.9942,0.9942
M3 (dist+port),Demeaned,Benxi,1.0,45.0,,0.3344,-6.7266,-6.7266
M3 (dist+port),Demeaned,Changshou,1.0,45.0,,0.9881,0.9775,0.9775
M3 (dist+port),Demeaned,Anyang,1.0,45.0,,0.9464,0.9218,0.9218
M3 (dist+port),Demeaned,Baoshan,1.0,45.0,,0.6261,-3.792,-3.792
M3 (dist+port),Demeaned,Lengshuijiang,1.0,45.0,,0.9874,0.8665,0.8665
M3 (dist+port),Demeaned,Lanzhou,1.0,21.0,,0.6067,0.8869,0.8869
M3 (dist+port),Demeaned,Jiujiang,1.0,45.0,,0.777,-0.8256,-0.8256
M3 (dist+port),Demeaned,Jiangyin,1.0,45.0,,0.9597,0.9766,0.9766
M3 (dist+port),Demeaned,Huai'an,1.0,45.0,,0.9516,0.8144,0.8144
M3 (dist+port),Demeaned,Huangshi,1.0,45.0,,0.9693,0.9136,0.9136
M3 (dist+port),Demeaned,Lvliang,1.0,45.0,,0.9734,0.947,0.947
M3 (dist+port),Demeaned,Lianyungang,1.0,45.0,,0.9891,0.9935,0.9935
M3 (dist+port),Demeaned,Nanjing,1.0,45.0,,0.6689,-0.6922,-0.6922
M3 (dist+port),Demeaned,Nanchang,1.0,45.0,,0.9662,0.9589,0.9589
M3 (dist+port),Demeaned,Ningbo,1.0,45.0,,0.9146,0.9799,0.9799
M3 (dist+port),Demeaned,Nanyang,1.0,45.0,,0.9877,0.8945,0.8945
M3 (dist+port),Demeaned,Quzhou,1.0,45.0,,0.9905,0.9821,0.9821
M3 (dist+port),Demeaned,Ma'anshan,1.0,36.0,,0.9923,0.8819,0.8819
M3 (dist+port),Demeaned,Liupanshui,1.0,45.0,,0.9539,0.9401,0.9401
M3 (dist+port),Demeaned,Loudi,1.0,45.0,,0.8887,0.4189,0.4189
M3 (dist+port),Demeaned,Shijiazhuang,1.0,32.0,,0.9934,0.9493,0.9493
M3 (dist+port),Demeaned,Shaoguan,1.0,45.0,,0.9543,0.7804,0.7804
M3 (dist+port),Demeaned,Rizhao,1.0,44.0,,0.6732,-0.5247,-0.5247
M3 (dist+port),Demeaned,Taiyuan,1.0,45.0,,0.793,-0.1981,-0.1981
M3 (dist+port),Demeaned,Tongling,1.0,44.0,,0.9023,0.6767,0.6767
M3 (dist+port),Demeaned,Weifang,1.0,44.0,,0.967,0.768,0.768
M3 (dist+port),Demeaned,Tongchun District,1.0,45.0,,0.8884,0.6227,0.6227
M3 (dist+port),Demeaned,Tonghua,1.0,45.0,,0.9877,0.98,0.98
M3 (dist+port),Demeaned,Wuxi,1.0,45.0,,0.4444,-0.5351,-0.5351
M3 (dist+port),Demeaned,Wuhu,1.0,6.0,,-0.0857,-29.0763,-29.0763
M3 (dist+port),Demeaned,Xinyang,1.0,45.0,,0.8855,0.9515,0.9515
M3 (dist+port),Demeaned,Xining,1.0,44.0,,0.9395,0.5758,0.5758
M3 (dist+port),Demeaned,Yancheng,1.0,45.0,,0.9933,0.9757,0.9757
M3 (dist+port),Demeaned,Yichun,1.0,45.0,,0.9025,0.8422,0.8422
M3 (dist+port),Demeaned,Yingkou,1.0,45.0,,0.9739,0.8955,0.8955
M3 (dist+port),Demeaned,Yuncheng,1.0,28.0,,0.9726,0.9736,0.9736
